OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
10604,4,Limited Free,SPECTRUM,Baisley Pond Park,Park Perimeter,40.6748599999,-73.7841200005,"1,044,131.89696","185,219.892077",Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,09/09/9999,4,Queens,QN02,Springfield Gardens North,28,11434,412,294,294,0,0,1408,"(40.6748599999, -73.7841200005)"
10555,4,Limited Free,SPECTRUM,Kissena Park,Park Perimeter,40.7475599996,-73.8181499997,"1,034,637.51076","211,685.217755",Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,09/09/9999,4,Queens,QN22,Flushing,20,11355,407,845,845,0,0,1359,"(40.7475599996, -73.8181499997)"
12370,3,Free,Transit Wireless,Grand St (L),Grand St (L),40.7119259997,-73.9406699994,"1,000,698.12752","198,655.90884",Subway Station,SN 123,Brooklyn,TransitWirelessWiFi,,09/09/9999,3,Brooklyn,BK90,East Williamsburg,34,11206,301,495,495,0,0,1699,"(40.7119259997, -73.9406699994)"
9893,3,Free,Downtown Brooklyn,,125 Court St.,40.6899850001,-73.9919950004,"986,469.966349","190,656.680416",Outdoor,,Brooklyn,Downtown Brooklyn WiFi,,09/09/9999,3,Brooklyn,BK09,Brooklyn Heights-Cobble Hill,33,11201,302,9,9,3388736,3002777501,298,"(40.6899850001, -73.9919950004)"
10169,1,Free,Transit Wireless,Lexington Av-63 St (F),Lexington Av-63 St (F),40.7646300002,-73.9661150001,"993,636.552081","217,853.888161",Subway Station,SN 223,New York,TransitWirelessWiFi,,09/09/9999,1,Manhattan,MN40,Upper East Side-Carnegie Hill,4,10065,108,120,120,0,0,599,"(40.7646300002, -73.9661150001)"
10880,4,Limited Free,SPECTRUM,Kissena Park,Park Perimeter,40.7424300003,-73.8115100003,"1,036,481.35944","209,820.088612",Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,09/09/9999,4,Queens,QN62,Queensboro Hill,20,11355,407,1215,1215,0,0,1347,"(40.7424300003, -73.8115100003)"
10953,1,Free,Harlem,,Pole 94 - LenWS1N133,40.812944,-73.9416929996,"1,000,390.02217","235,459.893303",Outdoor,,New York,Harlem Wi-Fi,,09/09/9999,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10037,110,212,212,0,0,787,"(40.812944, -73.9416929996)"
11018,3,Free,BPL,Clinton Hill - Brooklyn Public Library,380 WASHINGTON AVENUE,40.6873790941,-73.966030666,"993,670.827931","189,708.997928",Library,,Brooklyn,BPLUNWIRED,,09/09/9999,3,Brooklyn,BK69,Clinton Hill,35,11238,302,197,197,3055495,3019450036,53,"(40.6873790941, -73.966030666)"
12375,4,Free,Transit Wireless,Halsey St (L),Halsey St (L),40.6956020001,-73.9040840004,"1,010,847.41694","192,717.578854",Subway Station,SN 129,Brooklyn,TransitWirelessWiFi,,09/09/9999,4,Queens,QN20,Ridgewood,34,11385,405,555,555,0,0,1704,"(40.6956020001, -73.9040840004)"
12607,3,Free,Transit Wireless,"Broadway Junction (A,C,J,L,Z)","Broadway Junction (A,C,J,L,Z)",40.6783340002,-73.9053160001,"1,010,512.58493","186,425.975295",Subway Station,SN 184,Brooklyn,TransitWirelessWiFi,,09/09/9999,3,Brooklyn,BK79,Ocean Hill,37,11233,316,367,367,0,3015460001,1718,"(40.6783340002, -73.9053160001)"
