ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10060004,HY248774,5/05/2015 23:45,010XX W 79TH ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,612,6,17,71,08B,1170778,1852475,2015,5/12/2015 12:42,41.75066697,-87.64976005,"(41.75066697, -87.649760051)"
10059982,HY248801,5/05/2015 23:45,105XX S WABASH AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,FALSE,FALSE,512,5,9,49,04B,1178485,1834909,2015,5/12/2015 12:42,41.70229213,-87.62204998,"(41.702292131, -87.622049984)"
10059953,HY248791,5/05/2015 23:45,005XX N ASHLAND AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,1215,13,26,24,18,1165594,1903713,2015,5/12/2015 12:42,41.89138106,-87.66730127,"(41.891381064, -87.66730127)"
10060015,HY248790,5/05/2015 23:35,005XX N MARSHFIELD AVE,275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,ALLEY,FALSE,FALSE,1215,13,26,24,2,1165337,1903842,2015,5/12/2015 12:42,41.89174052,-87.66824143,"(41.89174052, -87.668241434)"
10059944,HY248782,5/05/2015 23:34,0000X E 72ND ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,323,3,6,69,18,1178073,1857256,2015,5/12/2015 12:42,41.76362442,-87.62288316,"(41.763624424, -87.622883163)"
10059939,HY248771,5/05/2015 23:31,019XX N DAYTON ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1813,18,43,7,26,1170268,1913325,2015,5/12/2015 12:42,41.91765612,-87.64985472,"(41.917656115, -87.649854719)"
10059946,HY248789,5/05/2015 23:30,033XX W ADAMS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1124,11,28,27,08B,1153889,1898831,2015,5/12/2015 12:42,41.87822564,-87.71041847,"(41.878225637, -87.710418473)"
10060610,HY248946,5/05/2015 23:30,026XX N RIDGEWAY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2524,25,35,22,14,1150970,1917546,2015,5/12/2015 12:42,41.92963905,-87.72064566,"(41.929639053, -87.720645655)"
10060003,HY248841,5/05/2015 23:30,014XX W GRAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,FALSE,FALSE,1215,13,27,24,14,1166902,1903634,2015,5/12/2015 12:42,41.89113632,-87.66249989,"(41.891136321, -87.662499891)"
10059990,HY248777,5/05/2015 23:30,009XX N HAMLIN AVE,860,THEFT,RETAIL THEFT,GAS STATION,FALSE,FALSE,1112,11,27,23,6,1150927,1905805,2015,5/12/2015 12:42,41.8974215,-87.72111165,"(41.897421503, -87.721111645)"
